Project name,Release,Class name,Size,NR,NAuth,Age,MAX_LOC_ADDED,LOC_ADDED,AVG_LOC_ADDDED,Churn,AVG_CHURN,buggyness
BOOKKEEPER,4.1.1,circe-checksum/src/main/java/com/scurrilous/circe/impl/package-info.java,89,1,1,15,89,89,89,89,89,no
BOOKKEEPER,4.1.1,circe-checksum/src/main/java/com/scurrilous/circe/crc/package-info.java,89,1,1,15,89,89,89,89,89,no
BOOKKEEPER,4.1.1,circe-checksum/src/main/java/com/scurrilous/circe/package-info.java,89,1,1,15,89,89,89,89,89,no
BOOKKEEPER,4.1.1,circe-checksum/src/main/java/com/scurrilous/circe/params/package-info.java,89,1,1,15,89,89,89,89,89,no
BOOKKEEPER,4.1.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/verifier/package-info.java,89,1,1,15,89,89,89,89,89,no
BOOKKEEPER,4.1.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/auth/package-info.java,89,1,1,15,89,89,89,89,89,no
BOOKKEEPER,4.1.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java,32,0,0,43,0,0,0,0,0,no
BOOKKEEPER,4.1.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,40,0,0,44,0,0,0,0,0,no
BOOKKEEPER,4.1.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptorReadOnlyImpl.java,52,1,1,43,1,1,1,0,0,no
BOOKKEEPER,4.1.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ScanAndCompareGarbageCollector.java,108,1,1,3,108,108,108,108,108,no
BOOKKEEPER,4.1.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollector.java,51,1,1,3,51,51,51,51,51,no
BOOKKEEPER,4.1.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerStorage.java,109,1,1,39,18,19,19,18,18,no
BOOKKEEPER,4.1.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,260,3,2,44,17,101,33,64,21,no
BOOKKEEPER,4.1.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1242,17,3,93,74,635,37,478,28,no
BOOKKEEPER,4.1.1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,163,0,0,93,0,0,0,0,0,no
