Project name,Release,Class name,Size,NR,NAuth,Age,MAX_LOC_ADDED,LOC_ADDED,AVG_LOC_ADDDED,Churn,AVG_CHURN,buggyness
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/FLETest.java,321,0,0,9,0,0,0,0,0,no
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/ZooKeeperTestClient.java,392,0,0,55,0,0,0,0,0,no
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/WatcherFuncTest.java,460,0,0,23,0,0,0,0,0,yes
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/CreateModeTest.java,81,0,0,12,0,0,0,0,0,yes
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/WatcherTest.java,346,2,1,10,51,95,47,62,31,yes
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/SledgeHammer.java,115,0,0,55,0,0,0,0,0,no
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/test/StatTest.java,205,0,0,8,0,0,0,0,0,no
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/TestableZooKeeper.java,72,2,1,2,54,72,36,72,36,no
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/server/SerializationPerfTest.java,113,0,0,32,0,0,0,0,0,no
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/server/DataTreeTest.java,62,0,0,36,0,0,0,0,0,no
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/server/CRCTest.java,155,0,0,6,0,0,0,0,0,no
ZOOKEEPER,3.0.1,zookeeper-server/src/test/java/org/apache/zookeeper/server/DeserializationPerfTest.java,106,0,0,32,0,0,0,0,0,no
