Dataset,#TrainingRelease,%training (data on training / total data),%Defective in training,%Defective in testing,classifier,balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
zookeeper-files/ZOOKEEPER,16,0.6790104247704994,0.1471915357087288,0.011513925626264198,Random Forest,UNDER,false,NONE,14.0,10.0,306.0,60.0,0.5833333333333334,0.1891891891891892,0.6254704071159768,0.21253028729664247
zookeeper-files/ZOOKEEPER,17,0.7396919246927026,0.158705461334993,0.0034230589699704374,NaiveBayes,UNDER,false,NONE,1.0,12.0,378.0,21.0,0.07692307692307693,0.045454545454545456,0.6213286713286713,0.018197573656846364
zookeeper-files/ZOOKEEPER,17,0.7396919246927026,0.158705461334993,0.0034230589699704374,IBk,UNDER,false,NONE,13.0,65.0,325.0,9.0,0.16666666666666666,0.5909090909090909,0.7453379953379954,0.19275577208218578
zookeeper-files/ZOOKEEPER,17,0.7396919246927026,0.158705461334993,0.0034230589699704374,Random Forest,UNDER,false,NONE,4.0,43.0,347.0,18.0,0.0851063829787234,0.18181818181818182,0.7403846153846154,0.04658573596358086
zookeeper-files/ZOOKEEPER,18,0.8037964835848763,0.16212852030496344,0.0,NaiveBayes,UNDER,false,NONE,0.0,14.0,403.0,0.0,0.0,NaN,NaN,0.0
zookeeper-files/ZOOKEEPER,18,0.8037964835848763,0.16212852030496344,0.0,IBk,UNDER,false,NONE,0.0,59.0,358.0,0.0,0.0,NaN,NaN,0.0
zookeeper-files/ZOOKEEPER,18,0.8037964835848763,0.16212852030496344,0.0,Random Forest,UNDER,false,NONE,0.0,34.0,383.0,0.0,0.0,NaN,NaN,0.0
zookeeper-files/ZOOKEEPER,19,0.8686790104247705,0.16212852030496344,6.223743581764431E-4,NaiveBayes,UNDER,false,NONE,0.0,7.0,411.0,4.0,0.0,0.0,0.9192583732057417,-0.012211077191449751
zookeeper-files/ZOOKEEPER,19,0.8686790104247705,0.16212852030496344,6.223743581764431E-4,IBk,UNDER,false,NONE,0.0,57.0,361.0,4.0,0.0,0.0,0.3696172248803828,-0.018033694534524622
zookeeper-files/ZOOKEEPER,19,0.8686790104247705,0.16212852030496344,6.223743581764431E-4,Random Forest,UNDER,false,NONE,0.0,22.0,396.0,4.0,0.0,0.0,0.6043660287081339,-0.016302334197849842
zookeeper-files/ZOOKEEPER,20,0.9343395052123853,0.16275089466313988,6.223743581764431E-4,NaiveBayes,UNDER,false,NONE,0.0,3.0,414.0,4.0,0.0,0.0,0.9382494004796164,-0.008210742387958369
zookeeper-files/ZOOKEEPER,20,0.9343395052123853,0.16275089466313988,6.223743581764431E-4,IBk,UNDER,false,NONE,2.0,41.0,376.0,2.0,0.046511627906976744,0.5,0.6145083932853717,0.06891940544154698
zookeeper-files/ZOOKEEPER,20,0.9343395052123853,0.16275089466313988,6.223743581764431E-4,Random Forest,UNDER,false,NONE,1.0,25.0,392.0,3.0,0.038461538461538464,0.25,0.8576139088729017,0.05103848011592301
zookeeper-files/ZOOKEEPER,1,0.023183444842072506,0.021316321767543178,0.017115294849852185,NaiveBayes,UNDER,false,THRESH,110.0,41.0,1.0,0.0,0.7284768211920529,1.0,0.5119047619047619,0.03409795412275256
zookeeper-files/ZOOKEEPER,1,0.023183444842072506,0.021316321767543178,0.017115294849852185,IBk,UNDER,false,THRESH,106.0,40.0,2.0,4.0,0.726027397260274,0.9636363636363636,0.5056277056277056,0.015312131919905906
zookeeper-files/ZOOKEEPER,1,0.023183444842072506,0.021316321767543178,0.017115294849852185,Random Forest,UNDER,false,THRESH,110.0,42.0,0.0,0.0,0.7236842105263158,1.0,0.5,0.0
zookeeper-files/ZOOKEEPER,2,0.046833670452777344,0.038431616617395366,0.0273844717597635,NaiveBayes,UNDER,false,THRESH,49.0,0.0,0.0,127.0,1.0,0.2784090909090909,NaN,0.0
zookeeper-files/ZOOKEEPER,2,0.046833670452777344,0.038431616617395366,0.0273844717597635,IBk,UNDER,false,THRESH,156.0,0.0,0.0,20.0,1.0,0.8863636363636364,NaN,0.0
zookeeper-files/ZOOKEEPER,2,0.046833670452777344,0.038431616617395366,0.0273844717597635,Random Forest,UNDER,false,THRESH,176.0,0.0,0.0,0.0,1.0,1.0,NaN,1.0
zookeeper-files/ZOOKEEPER,3,0.07421814221254085,0.06581608837715885,0.012447487163528862,NaiveBayes,UNDER,false,THRESH,17.0,7.0,89.0,63.0,0.7083333333333334,0.2125,0.5697916666666667,0.14823008849557526
zookeeper-files/ZOOKEEPER,3,0.07421814221254085,0.06581608837715885,0.012447487163528862,IBk,UNDER,false,THRESH,66.0,86.0,10.0,14.0,0.4342105263157895,0.825,0.46458333333333335,-0.06589147286821705
zookeeper-files/ZOOKEEPER,3,0.07421814221254085,0.06581608837715885,0.012447487163528862,Random Forest,UNDER,false,THRESH,80.0,95.0,1.0,0.0,0.45714285714285713,1.0,0.5052083333333334,0.009478672985781908
zookeeper-files/ZOOKEEPER,4,0.10160261397230434,0.07826357554068772,0.004978994865411545,NaiveBayes,UNDER,false,THRESH,17.0,56.0,132.0,15.0,0.2328767123287671,0.53125,0.616688829787234,0.15237681788582585
zookeeper-files/ZOOKEEPER,4,0.10160261397230434,0.07826357554068772,0.004978994865411545,IBk,UNDER,false,THRESH,29.0,139.0,49.0,3.0,0.17261904761904762,0.90625,0.5834441489361702,0.060394610202117394
zookeeper-files/ZOOKEEPER,4,0.10160261397230434,0.07826357554068772,0.004978994865411545,Random Forest,UNDER,false,THRESH,32.0,176.0,12.0,0.0,0.15384615384615385,1.0,0.5319148936170213,0.019448946515397088
zookeeper-files/ZOOKEEPER,5,0.1358332036720087,0.08324257040609927,0.008090866656293761,NaiveBayes,UNDER,false,THRESH,9.0,11.0,162.0,43.0,0.45,0.17307692307692307,0.5547465540240106,0.1395184135977338
zookeeper-files/ZOOKEEPER,5,0.1358332036720087,0.08324257040609927,0.008090866656293761,IBk,UNDER,false,THRESH,22.0,78.0,95.0,30.0,0.22,0.4230769230769231,0.48610493552690087,-0.021008403361344487
